#chrom	chromStart	chromEnd	name	gieStain
chr5	131297893	146744704	qG2	gneg
chr5	146744704	152537259	qG3	gpos33
chr6	0	16613004	qA1	gpos100
chr6	16613004	21499181	qA2	gneg
chr6	21499181	27362595	qA3.1	gpos100
chr6	27362595	28339830	qA3.2	gneg
chr6	28339830	34203243	qA3.3	gpos100
chr6	34203243	41532510	qB1	gneg
chr6	41532510	44464216	qB2.1	gpos66
chr6	44464216	45930070	qB2.2	gneg
chr6	45930070	50816247	qB2.3	gpos66
chr6	50816247	62543074	qB3	gneg
chr6	62543074	74269900	qC1	gpos100
chr6	74269900	76712989	qC2	gneg
chr6	76712989	85996727	qC3	gpos66
chr6	85996727	94303229	qD1	gneg
chr6	94303229	95769082	qD2	gpos33
chr6	95769082	103098349	qD3	gneg
chr6	103098349	108473144	qE1	gpos100
chr6	108473144	109450380	qE2	gneg
chr6	109450380	116779646	qE3	gpos100
chr6	116779646	122643059	qF1	gneg
chr6	122643059	125086148	qF2	gpos33
chr6	125086148	131926797	qF3	gneg
chr6	131926797	139256063	qG1	gpos66
chr6	139256063	142676388	qG2	gneg
chr6	142676388	149517037	qG3	gpos33
chr7	0	15943333	qA1	gpos100
chr7	15943333	19131999	qA2	gneg
chr7	19131999	29760888	qA3	gpos33
chr7	29760888	36138221	qB1	gneg
chr7	36138221	39326888	qB2	gpos33
chr7	39326888	49955776	qB3	gneg
chr7	49955776	56864554	qB4	gpos33
chr7	56864554	63773332	qB5	gneg
chr7	63773332	74933665	qC	gpos100
chr7	74933665	80779554	qD1	gneg
chr7	80779554	84499665	qD2	gpos66
chr7	84499665	94597109	qD3	gneg
chr7	94597109	104694553	qE1	gpos100
chr7	104694553	107351775	qE2	gneg
chr7	107351775	116917775	qE3	gpos33
chr7	116917775	124357997	qF1	gneg
chr7	124357997	129140997	qF2	gpos33
chr7	129140997	144021442	qF3	gneg
chr7	144021442	147741553	qF4	gpos33
chr7	147741553	152524553	qF5	gneg
chr8	0	16228701	qA1.1	gpos100
chr8	16228701	17183331	qA1.2	gneg
chr8	17183331	20524534	qA1.3	gpos33
chr8	20524534	30070829	qA2	gneg
chr8	30070829	34366662	qA3	gpos33
chr8	34366662	44867586	qA4	gneg
chr8	44867586	49163419	qB1.1	gpos66
chr8	49163419	51072678	qB1.2	gneg
chr8	51072678	56800455	qB1.3	gpos66
chr8	56800455	60618973	qB2	gneg
chr8	60618973	68256009	qB3.1	gpos100
chr8	68256009	69210638	qB3.2	gneg
chr8	69210638	75893045	qB3.3	gpos100
chr8	75893045	81620822	qC1	gneg
chr8	81620822	86393969	qC2	gpos33
chr8	86393969	91644432	qC3	gneg
chr8	91644432	93076376	qC4	gpos33
chr8	93076376	97372209	qC5	gneg
chr8	97372209	105009245	qD1	gpos100
chr8	105009245	105963874	qD2	gneg
chr8	105963874	112646281	qD3	gpos33
chr8	112646281	126011094	qE1	gneg
chr8	126011094	131738871	qE2	gpos33
chr9	0	14352094	qA1	gpos100
chr9	14352094	19444773	qA2	gneg
chr9	19444773	24074481	qA3	gpos33
chr9	24074481	37963604	qA4	gneg
chr9	37963604	43982225	qA5.1	gpos66
chr9	43982225	46297079	qA5.2	gneg
chr9	46297079	54630553	qA5.3	gpos66
chr9	54630553	62964027	qB	gneg
chr9	62964027	69445618	qC	gpos33
chr9	69445618	77316122	qD	gneg
chr9	77316122	82408800	qE1	gpos33
chr9	82408800	84260683	qE2	gneg
chr9	84260683	90742275	qE3.1	gpos100
chr9	90742275	91205245	qE3.2	gneg
chr9	91205245	100464661	qE3.3	gpos100
chr9	100464661	101390603	qE4	gpos66
chr9	101390603	107872194	qF1	gneg
chr9	107872194	110650019	qF2	gpos33
chr9	110650019	119446464	qF3	gneg
chr9	119446464	124076172	qF4	gpos33
chrX	0	15368327	qA1.1	gpos100
chrX	15368327	17769628	qA1.2	gneg
chrX	17769628	20651189	qA1.3	gpos33
chrX	20651189	27374832	qA2	gneg
chrX	27374832	32657694	qA3.1	gpos66
chrX	32657694	33618215	qA3.2	gneg
chrX	33618215	38901077	qA3.3	gpos66
chrX	38901077	46585241	qA4	gneg
chrX	46585241	54749664	qA5	gpos66
chrX	54749664	61473308	qA6	gneg
chrX	61473308	67716690	qA7.1	gpos66
chrX	67716690	69157471	qA7.2	gneg
chrX	69157471	75400854	qA7.3	gpos66
chrX	75400854	80203456	qB	gneg
chrX	80203456	88848140	qC1	gpos100
chrX	88848140	89808660	qC2	gneg
chrX	89808660	98453344	qC3	gpos100
chrX	98453344	107098028	qD	gneg
chrX	107098028	117183493	qE1	gpos100
chrX	117183493	118144013	qE2	gneg
chrX	118144013	131591300	qE3	gpos100
chrX	131591300	137834682	qF1	gneg
chrX	137834682	145038586	qF2	gpos33
chrX	145038586	152242489	qF3	gneg
chrX	152242489	159446392	qF4	gpos33
chrX	159446392	166650296	qF5	gneg
chrY	0	3578074	qA1	gpos100
chrY	3578074	5665285	qA2	gpos66
chrY	5665285	7851886	qB	gpos33
chrY	7851886	9442142	qC1	gpos100
chrY	9442142	10734224	qC2	gpos33
chrY	10734224	12523262	qC3	gpos100
chrY	12523262	14411690	qD	gpos33
chrY	14411690	15902555	qE	gpos66
chr10	0	12754055	qA1	gpos100
chr10	12754055	17659461	qA2	gneg
chr10	17659461	23545948	qA3	gpos33
chr10	23545948	33356759	qA4	gneg
chr10	33356759	41205409	qB1	gpos100
chr10	41205409	48072977	qB2	gneg
chr10	48072977	55921626	qB3	gpos100
chr10	55921626	63770276	qB4	gneg
chr10	63770276	67694600	qB5.1	gpos100
chr10	67694600	68185141	qB5.2	gneg
chr10	68185141	74562168	qB5.3	gpos100
chr10	74562168	88787845	qC1	gneg
chr10	88787845	95655414	qC2	gpos33
chr10	95655414	98598657	qC3	gneg
chr10	98598657	111352712	qD1	gpos100
chr10	111352712	124106767	qD2	gneg
chr10	124106767	129993255	qD3	gpos33
chr11	0	13021480	qA1	gpos100
chr11	13021480	17206956	qA2	gneg
chr11	17206956	21857485	qA3.1	gpos100
chr11	21857485	25577908	qA3.2	gneg
chr11	25577908	30228437	qA3.3	gpos100
chr11	30228437	36274125	qA4	gneg
chr11	36274125	43249918	qA5	gpos100
chr11	43249918	47900447	qB1.1	gneg
chr11	47900447	49760658	qB1.2	gpos33
chr11	49760658	59991822	qB1.3	gneg
chr11	59991822	62782139	qB2	gpos33
chr11	62782139	70688038	qB3	gneg
chr11	70688038	73943408	qB4	gpos33
chr11	73943408	81849307	qB5	gneg
chr11	81849307	90220259	qC	gpos100
chr11	90220259	102311634	qD	gneg
chr11	102311634	110217533	qE1	gpos66
chr11	110217533	121843856	qE2	gneg
chr12	0	17766671	qA1.1	gpos100
chr12	17766671	21320005	qA1.2	gneg
chr12	21320005	26205839	qA1.3	gpos66
chr12	26205839	31980007	qA2	gneg
chr12	31980007	39530843	qA3	gpos33
chr12	39530843	44416677	qB1	gneg
chr12	44416677	45305011	qB2	gpos33
chr12	45305011	52411679	qB3	gneg
chr12	52411679	66625016	qC1	gpos100
chr12	66625016	71955017	qC2	gneg
chr12	71955017	81726686	qC3	gpos100
chr12	81726686	86168354	qD1	gneg
chr12	86168354	89277522	qD2	gpos33
chr12	89277522	96384190	qD3	gneg
chr12	96384190	107044193	qE	gpos100
chr12	107044193	115483361	qF1	gneg
chr12	115483361	121257530	qF2	gpos66
chr13	0	16267960	qA1	gpos100
chr13	16267960	21197645	qA2	gneg
chr13	21197645	29578109	qA3.1	gpos66
chr13	29578109	33028888	qA3.2	gneg
chr13	33028888	41409353	qA3.3	gpos33
chr13	41409353	44367164	qA4	gneg
chr13	44367164	52747628	qA5	gpos33
chr13	52747628	59156219	qB1	gneg
chr13	59156219	61621061	qB2	gpos33
chr13	61621061	69508557	qB3	gneg
chr13	69508557	78381990	qC1	gpos33
chr13	78381990	80846832	qC2	gneg
chr13	80846832	94649950	qC3	gpos100
chr13	94649950	106481194	qD1	gneg
chr13	106481194	110424942	qD2.1	gpos33
chr13	110424942	116340564	qD2.2	gneg
chr13	116340564	120284312	qD2.3	gpos33
chr14	0	15023383	qA1	gpos100
chr14	15023383	19530398	qA2	gneg
chr14	19530398	30046767	qA3	gpos33
chr14	30046767	43567812	qB	gneg
chr14	43567812	52081063	qC1	gpos100
chr14	52081063	55085740	qC2	gneg
chr14	55085740	60093534	qC3	gpos66
chr14	60093534	69107564	qD1	gneg
chr14	69107564	73113800	qD2	gpos33
chr14	73113800	85132507	qD3	gneg
chr14	85132507	89138743	qE1	gpos66
chr14	89138743	99154332	qE2.1	gpos100
chr14	99154332	100155891	qE2.2	gneg
chr14	100155891	107667583	qE2.3	gpos100
chr14	107667583	111173039	qE3	gneg
chr14	111173039	121188628	qE4	gpos100
chr14	121188628	125194864	qE5	gneg
chr15	0	16413299	qA1	gpos100
chr15	16413299	24164024	qA2	gneg
chr15	24164024	29635124	qB1	gpos33
chr15	29635124	31914749	qB2	gneg
chr15	31914749	42856949	qB3.1	gpos100
chr15	42856949	44680649	qB3.2	gneg
chr15	44680649	49695824	qB3.3	gpos66
chr15	49695824	53343224	qC	gneg
chr15	53343224	66109124	qD1	gpos100
chr15	66109124	68388749	qD2	gneg
chr15	68388749	77051324	qD3	gpos66
chr15	77051324	83434274	qE1	gneg
chr15	83434274	86625749	qE2	gpos33
chr15	86625749	95288324	qE3	gneg
chr15	95288324	100759424	qF1	gpos66
chr15	100759424	101671274	qF2	gneg
chr15	101671274	103494974	qF3	gpos33
chr16	0	15450152	qA1	gpos100
chr16	15450152	16386525	qA2	gneg
chr16	16386525	20600202	qA3	gpos33
chr16	20600202	26218440	qB1	gneg
chr16	26218440	32304863	qB2	gpos33
chr16	32304863	38391287	qB3	gneg
chr16	38391287	44945897	qB4	gpos33
chr16	44945897	53841439	qB5	gneg
chr16	53841439	58055117	qC1.1	gpos66
chr16	58055117	58991490	qC1.2	gneg
chr16	58991490	66950659	qC1.3	gpos66
chr16	66950659	70696150	qC2	gneg
chr16	70696150	79123506	qC3.1	gpos100
chr16	79123506	79591692	qC3.2	gneg
chr16	79591692	91764540	qC3.3	gpos100
chr16	91764540	98319150	qC4	gneg
chr17	0	13984976	qA1	gpos100
chr17	13984976	16170128	qA2	gneg
chr17	16170128	17481220	qA3.1	gpos33
chr17	17481220	21851525	qA3.2	gneg
chr17	21851525	31466196	qA3.3	gpos66
chr17	31466196	40206806	qB1	gneg
chr17	40206806	41517898	qB2	gpos33
chr17	41517898	45888203	qB3	gneg
chr17	45888203	55939905	qC	gpos66
chr17	55939905	60310210	qD	gneg
chr17	60310210	68176759	qE1.1	gpos100
chr17	68176759	69050820	qE1.2	gneg
chr17	69050820	73421125	qE1.3	gpos100
chr17	73421125	78665491	qE2	gneg
chr17	78665491	83035796	qE3	gpos33
chr17	83035796	89154223	qE4	gneg
chr17	89154223	95272651	qE5	gpos33
chr18	0	19420992	qA1	gpos100
chr18	19420992	29553684	qA2	gneg
chr18	29553684	35464421	qB1	gpos66
chr18	35464421	37153203	qB2	gneg
chr18	37153203	45597113	qB3	gpos100
chr18	45597113	49819068	qC	gneg
chr18	49819068	54041023	qD1	gpos100
chr18	54041023	54463218	qD2	gneg
chr18	54463218	60796150	qD3	gpos100
chr18	60796150	67973474	qE1	gneg
chr18	67973474	75150797	qE2	gpos33
chr18	75150797	83594707	qE3	gneg
chr18	83594707	90772031	qE4	gpos33
chr19	0	16655891	qA	gpos100
chr19	16655891	25593199	qB	gneg
chr19	25593199	34936748	qC1	gpos66
chr19	34936748	38186678	qC2	gneg
chr19	38186678	47530227	qC3	gpos66
chr19	47530227	51592639	qD1	gneg
chr19	51592639	58904982	qD2	gpos33
chr19	58904982	61342430	qD3	gneg
